Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,55618,6,55747.0,1,0,66.0,0,0,0,65535,0,0
443,55603,6,1694.0,1,0,54.0,0,0,0,0,0,0
443,55621,6,113657.0,1,0,66.0,0,0,0,65535,0,0
443,55608,6,219962.0,1,0,54.0,0,0,0,0,0,0
443,55626,6,1048311.0,1,0,66.0,0,0,0,65535,0,0
443,55612,6,1263.0,1,0,54.0,0,0,0,0,0,0
443,55615,6,869992.0,1,0,54.0,0,0,0,0,0,0
443,55618,6,955681.0,1,0,54.0,0,0,0,0,0,0
64328,443,6,63061.00000000001,1,0,295.0,0,0,0,254,0,0
443,64328,6,178914.0,1,0,318.0,0,0,0,3817,0,0
64328,443,6,40163.0,1,0,54.0,0,0,0,253,0,0
55384,443,6,10106.0,1,0,55.0,0,0,0,254,0,0
443,55384,6,45385.0,1,0,66.0,0,0,0,303,0,0
443,55621,6,399641.0,1,0,54.0,0,0,0,0,0,0
443,55626,6,1214576.0,1,0,54.0,0,0,0,0,0,0
55633,443,6,155224.0,1,0,66.0,0,0,0,65535,0,0
443,55633,6,93709.0,1,0,66.0,0,0,0,65535,0,0
55633,443,6,73.0,1,0,54.0,0,0,0,255,0,0
55633,443,6,258.0,1,0,571.0,0,0,0,255,0,0
443,55633,6,31276.0,1,0,1490.0,0,0,0,66,0,0
443,55633,6,4581.0,1,0,1490.0,0,0,0,66,0,0
443,55633,6,0.0,1,0,1278.0,0,0,0,66,0,0
55633,443,6,69.0,1,0,54.0,0,0,0,255,0,0
443,55633,6,753.0,1,0,1490.0,0,0,0,66,0,0
55633,443,6,91.0,1,0,54.0,0,0,0,255,0,0
443,55633,6,75.0,1,0,200.0,0,0,0,66,0,0
55633,443,6,1260.0,1,0,1490.0,0,0,0,255,0,0
55633,443,6,0.0,1,0,687.0,0,0,0,255,0,0
443,55633,6,36655.0,1,0,56.0,0,0,0,70,0,0
443,55633,6,0.0,1,0,133.0,0,0,0,70,0,0
443,55633,6,0.0,1,0,133.0,0,0,0,70,0,0
55633,443,6,85.0,1,0,54.0,0,0,0,254,0,0
