Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
59330,443,6,0.0,1,0,105.0,0,0,0,252,0,0
443,59330,6,200399.0,1,0,94.0,0,0,0,16388,0,0
59330,443,6,47153.0,1,0,54.0,0,0,0,251,0,0
60241,5228,6,46529.0,1,0,55.0,0,0,0,251,0,0
5228,60241,6,175792.0,1,0,66.0,0,0,0,1048,0,0
443,65264,6,5824315.0,1,0,93.0,0,0,0,71,0,0
65264,443,6,886.0,1,0,54.0,0,0,0,255,0,0
443,65264,6,124436.0,1,0,78.0,0,0,0,71,0,0
443,65264,6,0.0,1,0,54.0,0,0,0,71,0,0
65264,443,6,68.0,1,0,54.0,0,0,0,0,0,0
443,65257,6,611171.0,1,0,93.0,0,0,0,75,0,0
65257,443,6,716.0,1,0,54.0,0,0,0,255,0,0
443,65257,6,74036.0,1,0,78.0,0,0,0,75,0,0
443,65257,6,0.0,1,0,54.0,0,0,0,75,0,0
65257,443,6,146.0,1,0,54.0,0,0,0,0,0,0
65181,443,6,1872397.0,1,0,172.0,0,0,0,252,0,0
65181,443,6,153.0,1,0,93.0,0,0,0,252,0,0
65181,443,6,39.0,1,0,1414.0,0,0,0,252,0,0
65181,443,6,0.0,1,0,953.0,0,0,0,252,0,0
443,65181,6,647733.0,1,0,54.0,0,0,0,16387,0,0
