Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,60895,6,7007.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,42.0,1,0,90.0,0,0,0,2047,0,0
5222,60490,6,785.0,1,0,66.0,0,0,0,916,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,79.0,1,0,90.0,0,0,0,2047,0,0
60895,443,6,34.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,10559.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,42.0,1,0,90.0,0,0,0,2047,0,0
443,61086,6,4457.0,1,0,153.0,0,0,0,16387,0,0
443,60895,6,909.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,44.0,1,0,90.0,0,0,0,2047,0,0
61086,443,6,61.0,1,0,491.0,0,0,0,255,0,0
443,60895,6,5747.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,30.0,1,0,90.0,0,0,0,2047,0,0
443,60619,6,7288.0,1,0,54.0,0,0,0,376,0,0
443,60619,6,950.0,1,0,316.0,0,0,0,376,0,0
443,61085,6,0.0,1,0,153.0,0,0,0,16387,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,79.0,1,0,90.0,0,0,0,2047,0,0
61085,443,6,490.0,1,0,491.0,0,0,0,255,0,0
443,60895,6,9163.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,60.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,10277.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,17674.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,89.0,1,0,82.0,0,0,0,2047,0,0
60619,443,6,298.0,1,0,54.0,0,0,0,253,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,83.0,1,0,82.0,0,0,0,2047,0,0
443,60877,6,6487.0,1,0,1414.0,0,0,0,83,0,0
60877,443,6,50.0,1,0,54.0,0,0,0,255,0,0
443,60895,6,5108.0,1,0,1414.0,0,0,0,501,0,0
443,61084,6,0.0,1,0,70.0,0,0,0,66,0,0
443,61084,6,0.0,1,0,1414.0,0,0,0,66,0,0
443,61084,6,0.0,1,0,1414.0,0,0,0,66,0,0
443,61084,6,0.0,1,0,1414.0,0,0,0,66,0,0
60895,443,6,72.0,1,0,82.0,0,0,0,2047,0,0
61084,443,6,61.0,1,0,66.0,0,0,0,255,0,0
61084,443,6,66.0,1,0,54.0,0,0,0,255,0,0
443,61084,6,6325.0,1,0,285.0,0,0,0,66,0,0
61084,443,6,18.0,1,0,66.0,0,0,0,255,0,0
61088,443,6,2111.0,1,0,66.0,0,0,0,65535,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,64.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,12374.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,39.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,12237.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,10505.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,45.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,9709.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,47.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,1235.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,54.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,95.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,6463.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,62.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,3651.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,57.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,5202.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,39.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,10127.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,39.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,6869.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,53.0,1,0,82.0,0,0,0,2047,0,0
60490,5222,6,267.0,1,0,120.0,0,0,0,254,0,0
443,60895,6,4960.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
443,60877,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,84.0,1,0,82.0,0,0,0,2047,0,0
60895,443,6,54.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,9702.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,42.0,1,0,90.0,0,0,0,2047,0,0
443,60877,6,48.0,1,0,1414.0,0,0,0,83,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60877,443,6,48.0,1,0,54.0,0,0,0,255,0,0
60895,443,6,27.0,1,0,82.0,0,0,0,2047,0,0
60895,443,6,10.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,2645.0,1,0,1414.0,0,0,0,501,0,0
5222,60490,6,0.0,1,0,66.0,0,0,0,916,0,0
60895,443,6,21.0,1,0,82.0,0,0,0,2047,0,0
443,61088,6,6134.0,1,0,66.0,0,0,0,65535,0,0
61088,443,6,76.0,1,0,54.0,0,0,0,255,0,0
61088,443,6,230.0,1,0,571.0,0,0,0,255,0,0
443,60895,6,579.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,39.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,4694.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,53.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,10508.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,43.0,1,0,82.0,0,0,0,2047,0,0
443,60895,6,12415.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,62.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,3176.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,78.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,5415.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,6605.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,6209.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,17.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,14959.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,43.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,2742.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,175.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,11340.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,52.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,11621.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,46.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,82.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,12489.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,60.0,1,0,90.0,0,0,0,2047,0,0
443,60877,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,60895,6,3410.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,48.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,6109.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,50.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,8597.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,61085,6,3911.0000000000005,1,0,153.0,0,0,0,16387,0,0
61085,443,6,33.0,1,0,66.0,0,0,0,255,0,0
60877,443,6,1374.0,1,0,54.0,0,0,0,255,0,0
443,60895,6,13189.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,63.0,1,0,90.0,0,0,0,2047,0,0
443,60877,6,3800.0,1,0,1414.0,0,0,0,83,0,0
443,60895,6,5026.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,47.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,312.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,7.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,14728.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,50.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,4812.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,46.0,1,0,90.0,0,0,0,2047,0,0
60877,443,6,12205.0,1,0,54.0,0,0,0,255,0,0
443,60895,6,10888.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,45.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,1090.0,1,0,1414.0,0,0,0,501,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,122.0,1,0,90.0,0,0,0,2047,0,0
60895,443,6,109.0,1,0,90.0,0,0,0,2047,0,0
60962,443,6,4995.0,1,0,172.0,0,0,0,254,0,0
60962,443,6,88.0,1,0,1414.0,0,0,0,254,0,0
60962,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
60962,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
60962,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
60962,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
60962,443,6,0.0,1,0,202.0,0,0,0,254,0,0
443,60895,6,5541.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,46.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,8947.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,58.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,4813.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,55.0,1,0,90.0,0,0,0,2047,0,0
60490,5222,6,11124.0,1,0,120.0,0,0,0,254,0,0
443,60895,6,6204.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,58.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,10422.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,58.0,1,0,90.0,0,0,0,2047,0,0
61061,443,6,11936.0,1,0,55.0,0,0,0,254,0,0
443,60895,6,0.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,106.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,8857.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,58.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,2374.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,66.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,13596.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,51.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,10291.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,80.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,15244.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,49.0,1,0,90.0,0,0,0,2047,0,0
443,60895,6,18826.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,45.0,1,0,90.0,0,0,0,2047,0,0
443,61086,6,12149.0,1,0,1414.0,0,0,0,16385,0,0
443,61086,6,0.0,1,0,1414.0,0,0,0,16385,0,0
61086,443,6,96.0,1,0,54.0,0,0,0,255,0,0
443,61086,6,4627.0,1,0,1414.0,0,0,0,16385,0,0
443,61086,6,0.0,1,0,506.0,0,0,0,16385,0,0
61086,443,6,70.0,1,0,54.0,0,0,0,255,0,0
443,60895,6,53.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,11.0,1,0,90.0,0,0,0,2047,0,0
61086,443,6,767.0,1,0,1414.0,0,0,0,255,0,0
61086,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
61086,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
61086,443,6,0.0,1,0,364.0,0,0,0,255,0,0
443,60877,6,6943.0,1,0,1414.0,0,0,0,83,0,0
60877,443,6,81.0,1,0,66.0,0,0,0,255,0,0
443,60895,6,30040.0,1,0,1414.0,0,0,0,501,0,0
60895,443,6,59.0,1,0,90.0,0,0,0,2047,0,0
443,61085,6,13707.0,1,0,1414.0,0,0,0,16385,0,0
443,61085,6,4993.0,1,0,1414.0,0,0,0,16385,0,0
