Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,45.0,1,0,90.0,0,0,0,2047,0,0
62606,443,6,69.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,756.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,37.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,70.0,1,0,1414.0,0,0,0,10,0,0
443,61968,6,0.0,1,0,174.0,0,0,0,16389,0,0
62606,443,6,15.0,1,0,90.0,0,0,0,2047,0,0
61968,443,6,16.0,1,0,66.0,0,0,0,251,0,0
443,62606,6,17.0,1,0,750.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,8.0,1,0,90.0,0,0,0,2047,0,0
62606,443,6,8.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,5353.0,1,0,1414.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,43.0,1,0,90.0,0,0,0,2047,0,0
62606,443,6,54.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,19.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,36.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,10360.0,1,0,1414.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,101.0,1,0,90.0,0,0,0,2047,0,0
443,62606,6,6753.0,1,0,1414.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,56.0,1,0,82.0,0,0,0,2047,0,0
62606,443,6,2398.0,1,0,544.0,0,0,0,2047,0,0
60833,443,6,11211.0,1,0,111.0,0,0,0,254,0,0
62618,443,6,11032.0,1,0,66.0,0,0,0,65535,0,0
61968,443,6,-1.0,1,0,649.0,0,0,0,251,0,0
62619,443,6,1719.0,1,0,66.0,0,0,0,65535,0,0
443,62606,6,7273.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,199.0,1,0,74.0,0,0,0,2047,0,0
62606,443,6,3789.0,1,0,89.0,0,0,0,2047,0,0
443,62606,6,8040.999999999999,1,0,1414.0,0,0,0,10,0,0
443,62606,6,0.0,1,0,1414.0,0,0,0,10,0,0
62606,443,6,128.0,1,0,66.0,0,0,0,2047,0,0
