Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,52955,6,0.0,1,0,54.0,0,0,0,265,0,0
443,52954,6,0.0,1,0,54.0,0,0,0,265,0,0
443,52958,6,0.0,1,0,54.0,0,0,0,265,0,0
443,52958,6,113.0,1,0,54.0,0,0,0,265,0,0
443,53111,6,0.0,1,0,133.0,0,0,0,70,0,0
443,53111,6,0.0,1,0,133.0,0,0,0,70,0,0
53111,443,6,89.0,1,0,54.0,0,0,0,255,0,0
443,53112,6,4423.0,1,0,1414.0,0,0,0,73,0,0
443,53112,6,5585.0,1,0,508.0,0,0,0,73,0,0
53112,443,6,88.0,1,0,54.0,0,0,0,255,0,0
53112,443,6,2669.0,1,0,122.0,0,0,0,255,0,0
443,52953,6,92712.0,1,0,54.0,0,0,0,265,0,0
52953,443,6,59.0,1,0,54.0,0,0,0,1021,0,0
52856,443,6,91608.0,1,0,54.0,0,0,0,252,0,0
52847,443,6,343.0,1,0,54.0,0,0,0,250,0,0
443,53112,6,17011.0,1,0,54.0,0,0,0,73,0,0
52852,5222,6,92021.0,1,0,79.0,0,0,0,255,0,0
443,52856,6,2415.0,1,0,78.0,0,0,0,501,0,0
443,52856,6,0.0,1,0,54.0,0,0,0,501,0,0
52856,443,6,81.0,1,0,54.0,0,0,0,0,0,0
443,52953,6,202871.0,1,0,78.0,0,0,0,265,0,0
443,52847,6,0.0,1,0,54.0,0,0,0,2047,0,0
443,53112,6,0.0,1,0,1414.0,0,0,0,73,0,0
52847,443,6,151.0,1,0,54.0,0,0,0,250,0,0
52953,443,6,116.0,1,0,54.0,0,0,0,1021,0,0
52953,443,6,2193.0,1,0,54.0,0,0,0,1021,0,0
443,53112,6,2715.0,1,0,231.0,0,0,0,73,0,0
443,53096,6,0.0,1,0,93.0,0,0,0,67,0,0
53112,443,6,78.0,1,0,54.0,0,0,0,255,0,0
53096,443,6,615.0,1,0,110.0,0,0,0,255,0,0
53096,443,6,374.0,1,0,78.0,0,0,0,255,0,0
53096,443,6,286.0,1,0,54.0,0,0,0,255,0,0
5222,52852,6,782.0,1,0,66.0,0,0,0,1594,0,0
53112,443,6,724.0,1,0,177.0,0,0,0,255,0,0
443,52953,6,196867.0,1,0,54.0,0,0,0,265,0,0
443,53096,6,0.0,1,0,66.0,0,0,0,67,0,0
443,53096,6,0.0,1,0,66.0,0,0,0,67,0,0
443,53096,6,0.0,1,0,90.0,0,0,0,67,0,0
443,53096,6,0.0,1,0,66.0,0,0,0,67,0,0
443,53112,6,0.0,1,0,54.0,0,0,0,73,0,0
443,53096,6,0.0,1,0,54.0,0,0,0,0,0,0
53096,443,6,263.0,1,0,54.0,0,0,0,255,0,0
443,53096,6,169997.0,1,0,54.0,0,0,0,0,0,0
443,53112,6,108429.0,1,0,1414.0,0,0,0,73,0,0
443,53112,6,0.0,1,0,574.0,0,0,0,73,0,0
53112,443,6,131.0,1,0,54.0,0,0,0,255,0,0
53115,443,6,9901.0,1,0,66.0,0,0,0,65535,0,0
52939,443,6,256.0,1,0,110.0,0,0,0,252,0,0
52939,443,6,56.0,1,0,93.0,0,0,0,252,0,0
52968,443,6,1764.0,1,0,55.0,0,0,0,254,0,0
52939,443,6,1854.0,1,0,107.0,0,0,0,252,0,0
52943,443,6,196.0,1,0,107.0,0,0,0,254,0,0
52943,443,6,53.0,1,0,93.0,0,0,0,254,0,0
52944,443,6,219.0,1,0,122.0,0,0,0,253,0,0
52944,443,6,54.0,1,0,93.0,0,0,0,253,0,0
53116,443,6,12075.0,1,0,66.0,0,0,0,65535,0,0
53117,443,6,326.0,1,0,66.0,0,0,0,65535,0,0
53112,443,6,39935.0,1,0,109.0,0,0,0,255,0,0
52939,443,6,9301.0,1,0,415.0,0,0,0,252,0,0
443,52968,6,176800.0,1,0,66.0,0,0,0,342,0,0
443,52944,6,0.0,1,0,54.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,54.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,93.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,53112,6,0.0,1,0,54.0,0,0,0,73,0,0
443,52944,6,0.0,1,0,626.0,0,0,0,83,0,0
52944,443,6,222.0,1,0,54.0,0,0,0,255,0,0
52944,443,6,1575.0,1,0,89.0,0,0,0,255,0,0
52870,443,6,97761.0,1,0,54.0,0,0,0,255,0,0
52858,443,6,246.00000000000003,1,0,54.0,0,0,0,250,0,0
443,53115,6,3638.0,1,0,66.0,0,0,0,65535,0,0
53115,443,6,224.0,1,0,54.0,0,0,0,255,0,0
53115,443,6,609.0,1,0,571.0,0,0,0,255,0,0
443,52943,6,15624.0,1,0,54.0,0,0,0,71,0,0
443,52943,6,0.0,1,0,54.0,0,0,0,71,0,0
443,52943,6,0.0,1,0,93.0,0,0,0,71,0,0
443,52943,6,0.0,1,0,243.0,0,0,0,71,0,0
443,52939,6,0.0,1,0,54.0,0,0,0,73,0,0
443,52939,6,0.0,1,0,54.0,0,0,0,73,0,0
443,52939,6,0.0,1,0,54.0,0,0,0,73,0,0
443,52939,6,0.0,1,0,93.0,0,0,0,73,0,0
52943,443,6,189.0,1,0,54.0,0,0,0,253,0,0
52943,443,6,5527.0,1,0,89.0,0,0,0,253,0,0
443,52939,6,1817.0,1,0,242.0,0,0,0,73,0,0
52939,443,6,77.0,1,0,54.0,0,0,0,251,0,0
52939,443,6,3516.0,1,0,89.0,0,0,0,251,0,0
53094,443,6,26757.0,1,0,172.0,0,0,0,251,0,0
53094,443,6,139.0,1,0,93.0,0,0,0,251,0,0
53094,443,6,43.0,1,0,1414.0,0,0,0,251,0,0
53094,443,6,0.0,1,0,966.0,0,0,0,251,0,0
443,52939,6,17229.0,1,0,317.0,0,0,0,76,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
443,52870,6,0.0,1,0,78.0,0,0,0,505,0,0
443,52870,6,0.0,1,0,54.0,0,0,0,505,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
52939,443,6,134.0,1,0,66.0,0,0,0,250,0,0
52870,443,6,100.0,1,0,54.0,0,0,0,0,0,0
52939,443,6,66.0,1,0,54.0,0,0,0,255,0,0
52939,443,6,19.0,1,0,66.0,0,0,0,255,0,0
52939,443,6,31.0,1,0,54.0,0,0,0,255,0,0
443,52939,6,2134.0,1,0,1414.0,0,0,0,76,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
443,52939,6,0.0,1,0,1414.0,0,0,0,76,0,0
52939,443,6,98.0,1,0,66.0,0,0,0,255,0,0
443,52939,6,10728.0,1,0,1414.0,0,0,0,76,0,0
52939,443,6,75.0,1,0,54.0,0,0,0,255,0,0
443,52939,6,4404.0,1,0,1414.0,0,0,0,76,0,0
52939,443,6,74.0,1,0,54.0,0,0,0,255,0,0
443,53116,6,81041.0,1,0,66.0,0,0,0,65535,0,0
443,53117,6,0.0,1,0,66.0,0,0,0,65535,0,0
443,53112,6,0.0,1,0,1414.0,0,0,0,73,0,0
443,53112,6,0.0,1,0,575.0,0,0,0,73,0,0
53116,443,6,174.0,1,0,54.0,0,0,0,255,0,0
53117,443,6,62.0,1,0,54.0,0,0,0,255,0,0
53112,443,6,14.0,1,0,54.0,0,0,0,255,0,0
53117,443,6,351.0,1,0,571.0,0,0,0,255,0,0
53116,443,6,450.0,1,0,571.0,0,0,0,255,0,0
443,52858,6,40441.0,1,0,54.0,0,0,0,2047,0,0
52858,443,6,81.0,1,0,54.0,0,0,0,250,0,0
443,52939,6,143275.0,1,0,752.0,0,0,0,76,0,0
52944,443,6,22713.0,1,0,89.0,0,0,0,255,0,0
443,53094,6,4096.0,1,0,54.0,0,0,0,16388,0,0
443,53094,6,0.0,1,0,93.0,0,0,0,16388,0,0
443,53094,6,6791.0,1,0,54.0,0,0,0,16389,0,0
443,53094,6,0.0,1,0,54.0,0,0,0,16385,0,0
443,53115,6,4214.0,1,0,1414.0,0,0,0,66,0,0
52939,443,6,8789.0,1,0,54.0,0,0,0,253,0,0
443,53115,6,2526.0,1,0,1414.0,0,0,0,66,0,0
53115,443,6,98.0,1,0,54.0,0,0,0,255,0,0
443,53115,6,11872.0,1,0,1414.0,0,0,0,66,0,0
443,53115,6,0.0,1,0,60.0,0,0,0,66,0,0
443,52943,6,0.0,1,0,54.0,0,0,0,71,0,0
443,52939,6,0.0,1,0,54.0,0,0,0,76,0,0
53115,443,6,129.0,1,0,54.0,0,0,0,255,0,0
53115,443,6,1670.0,1,0,1414.0,0,0,0,255,0,0
53115,443,6,0.0,1,0,758.0,0,0,0,255,0,0
53094,443,6,16192.999999999998,1,0,54.0,0,0,0,251,0,0
443,52963,6,55.0,1,0,93.0,0,0,0,269,0,0
52963,443,6,86.0,1,0,54.0,0,0,0,1022,0,0
52906,443,6,21933.0,1,0,54.0,0,0,0,1024,0,0
52907,443,6,296.0,1,0,54.0,0,0,0,1023,0,0
52879,443,6,227.0,1,0,54.0,0,0,0,1020,0,0
52878,443,6,215.0,1,0,54.0,0,0,0,1020,0,0
52865,443,6,168.0,1,0,54.0,0,0,0,1024,0,0
443,52944,6,61770.0,1,0,66.0,0,0,0,83,0,0
443,53117,6,109322.0,1,0,153.0,0,0,0,16387,0,0
53117,443,6,1172.0,1,0,405.0,0,0,0,255,0,0
443,53116,6,2625.0,1,0,153.0,0,0,0,16387,0,0
53116,443,6,989.0000000000001,1,0,405.0,0,0,0,255,0,0
443,52879,6,19179.0,1,0,54.0,0,0,0,49155,0,0
52879,443,6,78.0,1,0,54.0,0,0,0,1020,0,0
443,52878,6,4745.0,1,0,54.0,0,0,0,49156,0,0
52878,443,6,72.0,1,0,54.0,0,0,0,1020,0,0
443,52865,6,21816.0,1,0,54.0,0,0,0,16389,0,0
52865,443,6,108.0,1,0,54.0,0,0,0,1024,0,0
443,52906,6,5691.0,1,0,54.0,0,0,0,16387,0,0
52906,443,6,84.0,1,0,54.0,0,0,0,1024,0,0
443,52907,6,8016.000000000001,1,0,54.0,0,0,0,16389,0,0
52907,443,6,71.0,1,0,54.0,0,0,0,1023,0,0
443,53094,6,58609.0,1,0,175.0,0,0,0,16385,0,0
53094,443,6,1672.0,1,0,89.0,0,0,0,251,0,0
443,53115,6,49963.0,1,0,133.0,0,0,0,68,0,0
443,53115,6,0.0,1,0,133.0,0,0,0,68,0,0
53115,443,6,87.0,1,0,54.0,0,0,0,255,0,0
443,53115,6,57300.0,1,0,54.0,0,0,0,71,0,0
52876,80,6,43558.0,1,0,54.0,0,0,0,252,0,0
443,52966,6,105962.0,1,0,78.0,0,0,0,261,0,0
443,52966,6,0.0,1,0,54.0,0,0,0,261,0,0
52966,443,6,209.0,1,0,54.0,0,0,0,1022,0,0
52966,443,6,228.0,1,0,54.0,0,0,0,1022,0,0
80,52876,6,11517.0,1,0,54.0,0,0,0,501,0,0
52876,80,6,123.00000000000001,1,0,54.0,0,0,0,252,0,0
443,52965,6,29833.0,1,0,78.0,0,0,0,265,0,0
443,52965,6,0.0,1,0,54.0,0,0,0,265,0,0
52965,443,6,197.0,1,0,54.0,0,0,0,1021,0,0
52965,443,6,1411.0,1,0,54.0,0,0,0,1021,0,0
443,53117,6,33096.0,1,0,1414.0,0,0,0,16385,0,0
443,53117,6,0.0,1,0,1414.0,0,0,0,16385,0,0
443,53117,6,0.0,1,0,1414.0,0,0,0,16385,0,0
53117,443,6,141.0,1,0,54.0,0,0,0,255,0,0
443,53117,6,6084.0,1,0,385.0,0,0,0,16385,0,0
53117,443,6,80.0,1,0,54.0,0,0,0,254,0,0
53117,443,6,1380.0,1,0,788.0,0,0,0,254,0,0
443,53116,6,18203.0,1,0,1414.0,0,0,0,16385,0,0
443,53116,6,1723.0,1,0,1414.0,0,0,0,16385,0,0
443,53116,6,0.0,1,0,1414.0,0,0,0,16385,0,0
443,53116,6,0.0,1,0,385.0,0,0,0,16385,0,0
53116,443,6,47.0,1,0,54.0,0,0,0,255,0,0
53116,443,6,830.0,1,0,788.0,0,0,0,255,0,0
443,53115,6,21116.0,1,0,641.0,0,0,0,71,0,0
443,53115,6,0.0,1,0,78.0,0,0,0,71,0,0
53115,443,6,117.0,1,0,54.0,0,0,0,252,0,0
53115,443,6,473.0,1,0,78.0,0,0,0,252,0,0
53115,443,6,259.0,1,0,54.0,0,0,0,252,0,0
443,52966,6,15387.0,1,0,54.0,0,0,0,261,0,0
443,52965,6,28151.0,1,0,54.0,0,0,0,265,0,0
443,53094,6,104146.0,1,0,54.0,0,0,0,16385,0,0
443,52956,6,159210.0,1,0,78.0,0,0,0,261,0,0
443,52956,6,0.0,1,0,54.0,0,0,0,261,0,0
52956,443,6,70.0,1,0,54.0,0,0,0,1020,0,0
52956,443,6,61.0,1,0,54.0,0,0,0,1020,0,0
443,53115,6,51297.0,1,0,54.0,0,0,0,0,0,0
443,53115,6,19298.0,1,0,54.0,0,0,0,0,0,0
443,53117,6,45692.0,1,0,157.0,0,0,0,16389,0,0
443,53117,6,0.0,1,0,403.0,0,0,0,16389,0,0
443,53117,6,0.0,1,0,81.0,0,0,0,16389,0,0
53117,443,6,153.0,1,0,54.0,0,0,0,252,0,0
53117,443,6,1108.0,1,0,78.0,0,0,0,252,0,0
53117,443,6,1018.0,1,0,54.0,0,0,0,252,0,0
443,52956,6,7658.0,1,0,54.0,0,0,0,261,0,0
443,53116,6,9265.0,1,0,157.0,0,0,0,16389,0,0
443,53116,6,0.0,1,0,403.0,0,0,0,16389,0,0
443,53116,6,0.0,1,0,81.0,0,0,0,16389,0,0
53116,443,6,176.0,1,0,54.0,0,0,0,254,0,0
53116,443,6,718.0,1,0,78.0,0,0,0,254,0,0
53116,443,6,531.0,1,0,54.0,0,0,0,254,0,0
443,53117,6,454133.0,1,0,54.0,0,0,0,16389,0,0
443,53117,6,0.0,1,0,54.0,0,0,0,16388,0,0
443,53116,6,4547.0,1,0,54.0,0,0,0,16389,0,0
443,53116,6,0.0,1,0,54.0,0,0,0,16388,0,0
52925,80,6,9431.0,1,0,54.0,0,0,0,255,0,0
53118,80,6,758.0,1,0,66.0,0,0,0,65535,0,0
80,52925,6,29361.0,1,0,54.0,0,0,0,288,0,0
80,52925,6,0.0,1,0,54.0,0,0,0,288,0,0
52925,80,6,95.0,1,0,54.0,0,0,0,255,0,0
80,53118,6,33123.0,1,0,66.0,0,0,0,65535,0,0
53118,80,6,237.0,1,0,54.0,0,0,0,255,0,0
53118,80,6,390.0,1,0,336.0,0,0,0,255,0,0
80,53118,6,77039.0,1,0,54.0,0,0,0,288,0,0
80,53118,6,0.0,1,0,257.0,0,0,0,288,0,0
53118,80,6,48959.0,1,0,54.0,0,0,0,255,0,0
52970,443,6,52460.0,1,0,55.0,0,0,0,255,0,0
443,52967,6,2862.0,1,0,93.0,0,0,0,267,0,0
443,52967,6,0.0,1,0,78.0,0,0,0,267,0,0
52967,443,6,65.0,1,0,54.0,0,0,0,253,0,0
52967,443,6,208.0,1,0,78.0,0,0,0,253,0,0
52967,443,6,89.0,1,0,54.0,0,0,0,253,0,0
443,52967,6,3983.0000000000005,1,0,54.0,0,0,0,267,0,0
52967,443,6,75.0,1,0,54.0,0,0,0,253,0,0
443,52962,6,103205.0,1,0,93.0,0,0,0,269,0,0
443,52970,6,0.0,1,0,66.0,0,0,0,140,0,0
52962,443,6,95.0,1,0,54.0,0,0,0,1023,0,0
52944,443,6,230618.0,1,0,231.0,0,0,0,255,0,0
53119,443,6,16783.0,1,0,66.0,0,0,0,65535,0,0
443,52944,6,140054.0,1,0,54.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,53119,6,0.0,1,0,66.0,0,0,0,42300,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
52944,443,6,359.0,1,0,54.0,0,0,0,255,0,0
53119,443,6,136.0,1,0,54.0,0,0,0,255,0,0
443,52944,6,1137.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
52944,443,6,112.0,1,0,54.0,0,0,0,255,0,0
53119,443,6,1029.0,1,0,1414.0,0,0,0,255,0,0
53119,443,6,0.0,1,0,726.0,0,0,0,255,0,0
443,52967,6,13822.0,1,0,54.0,0,0,0,0,0,0
443,52967,6,0.0,1,0,54.0,0,0,0,0,0,0
443,52967,6,0.0,1,0,54.0,0,0,0,0,0,0
443,52967,6,0.0,1,0,54.0,0,0,0,0,0,0
443,52944,6,186897.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
52944,443,6,109.0,1,0,54.0,0,0,0,255,0,0
443,52944,6,566.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,53119,6,0.0,1,0,54.0,0,0,0,83,0,0
443,53119,6,0.0,1,0,54.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,53119,6,0.0,1,0,153.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
52944,443,6,204.0,1,0,54.0,0,0,0,255,0,0
443,52944,6,509.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,52944,6,0.0,1,0,1414.0,0,0,0,83,0,0
