Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,96.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,4527.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,80.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,12963.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,13660.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,27037.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,47695.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,11863.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,677.0,1,0,54.0,0,0,0,255,0,0
5222,60490,6,9227.0,1,0,54.0,0,0,0,2006,0,0
443,62469,6,4715.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,35.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,93.0,1,0,66.0,0,0,0,255,0,0
443,62376,6,8081.0,1,0,54.0,0,0,0,0,0,0
443,62469,6,10446.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,97.0,1,0,54.0,0,0,0,255,0,0
443,62267,6,21060.0,1,0,100.0,0,0,0,492,0,0
62267,443,6,7958.0,1,0,54.0,0,0,0,251,0,0
443,62469,6,11261.0,1,0,1414.0,0,0,0,83,0,0
443,62469,6,5356.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,93.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,5821.0,1,0,1414.0,0,0,0,83,0,0
60490,5222,6,213.0,1,0,124.0,0,0,0,252,0,0
62469,443,6,12157.0,1,0,54.0,0,0,0,255,0,0
62013,443,6,341.0,1,0,294.0,0,0,0,253,0,0
443,62469,6,1314.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,76.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,104.0,1,0,66.0,0,0,0,255,0,0
60490,5222,6,354.0,1,0,120.0,0,0,0,252,0,0
62262,443,6,8251.0,1,0,55.0,0,0,0,252,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,97.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,132.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,9253.0,1,0,1414.0,0,0,0,83,0,0
443,62469,6,5899.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,97.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,107.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,49.0,1,0,66.0,0,0,0,255,0,0
5222,60490,6,0.0,1,0,54.0,0,0,0,2006,0,0
443,62469,6,6757.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,116.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,89.0,1,0,54.0,0,0,0,255,0,0
5222,60490,6,2043.9999999999998,1,0,126.0,0,0,0,2006,0,0
60490,5222,6,9739.0,1,0,54.0,0,0,0,252,0,0
443,62379,6,23707.0,1,0,54.0,0,0,0,0,0,0
5222,60490,6,7008.0,1,0,54.0,0,0,0,2006,0,0
443,62013,6,9406.0,1,0,316.0,0,0,0,427,0,0
62013,443,6,425.0,1,0,54.0,0,0,0,252,0,0
62375,443,6,2.0,1,0,172.0,0,0,0,251,0,0
62375,443,6,70.0,1,0,1414.0,0,0,0,251,0,0
62375,443,6,0.0,1,0,934.0,0,0,0,251,0,0
443,62469,6,2301.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,515.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,10122.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,12746.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,17931.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,20199.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,9857.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,2186.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,4283.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,11382.0,1,0,54.0,0,0,0,255,0,0
62274,443,6,8550.0,1,0,55.0,0,0,0,250,0,0
443,62469,6,15928.999999999998,1,0,1414.0,0,0,0,83,0,0
62469,443,6,9679.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,5356.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,8528.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,2281.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,18758.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,1376.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,1173.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,12983.0,1,0,1414.0,0,0,0,83,0,0
443,62469,6,2499.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,58.0,1,0,54.0,0,0,0,255,0,0
62497,443,6,4508.0,1,0,55.0,0,0,0,250,0,0
443,62375,6,4292.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,7197.0,1,0,153.0,0,0,0,16385,0,0
62375,443,6,655.0,1,0,89.0,0,0,0,251,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,6839.0,1,0,54.0,0,0,0,255,0,0
443,62274,6,0.0,1,0,54.0,0,0,0,8840,0,0
