Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
60490,5222,6,11039.0,1,0,206.0,0,0,0,252,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,4102.0,1,0,54.0,0,0,0,255,0,0
443,62375,6,15979.0,1,0,54.0,0,0,0,16386,0,0
443,62469,6,5382.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,17363.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,11985.0,1,0,1414.0,0,0,0,83,0,0
62556,80,6,1547.0,1,0,59.0,0,0,0,252,0,0
62556,80,6,319.0,1,0,54.0,0,0,0,252,0,0
62285,443,6,5349.0,1,0,55.0,0,0,0,255,0,0
62495,443,6,32.0,1,0,55.0,0,0,0,250,0,0
62469,443,6,1030.0,1,0,54.0,0,0,0,255,0,0
80,62556,6,6631.0,1,0,66.0,0,0,0,269,0,0
62532,443,6,69.0,1,0,55.0,0,0,0,255,0,0
443,62469,6,595.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,4632.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,1419.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,63.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,18605.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,49.0,1,0,66.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,166.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,6946.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,5980.0,1,0,54.0,0,0,0,255,0,0
62556,80,6,9582.0,1,0,59.0,0,0,0,252,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,49.0,1,0,66.0,0,0,0,255,0,0
443,62495,6,4235.0,1,0,66.0,0,0,0,1047,0,0
80,62556,6,49.0,1,0,54.0,0,0,0,269,0,0
443,62285,6,229.0,1,0,54.0,0,0,0,9520,0,0
443,62532,6,3028.0,1,0,66.0,0,0,0,1045,0,0
80,62556,6,263.0,1,0,54.0,0,0,0,269,0,0
62556,80,6,56.0,1,0,54.0,0,0,0,252,0,0
60490,5222,6,11154.0,1,0,206.0,0,0,0,252,0,0
443,62469,6,4681.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,92.0,1,0,54.0,0,0,0,255,0,0
80,62556,6,22185.0,1,0,54.0,0,0,0,0,0,0
443,62469,6,1457.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,6797.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,5661.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,6140.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,4444.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,3346.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,12521.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,245.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,15335.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,12094.0,1,0,54.0,0,0,0,255,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
443,62469,6,0.0,1,0,1414.0,0,0,0,83,0,0
62469,443,6,124.0,1,0,54.0,0,0,0,255,0,0
5222,60490,6,1218.0,1,0,54.0,0,0,0,2059,0,0
