Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,55162,6,0.0,1,0,66.0,0,0,0,65535,0,0
443,55163,6,25437.0,1,0,66.0,0,0,0,65535,0,0
443,55165,6,158892.0,1,0,66.0,0,0,0,65535,0,0
443,55164,6,64253.00000000001,1,0,66.0,0,0,0,65535,0,0
55091,443,6,171347.0,1,0,172.0,0,0,0,254,0,0
55091,443,6,250.99999999999997,1,0,1494.0,0,0,0,254,0,0
55091,443,6,0.0,1,0,1177.0,0,0,0,254,0,0
55081,443,6,161012.0,1,0,55.0,0,0,0,255,0,0
443,55091,6,75494.0,1,0,56.0,0,0,0,16386,0,0
443,55091,6,712.0,1,0,152.0,0,0,0,16381,0,0
55091,443,6,51974.0,1,0,54.0,0,0,0,253,0,0
443,55174,6,4852.0,1,0,66.0,0,0,0,65535,0,0
443,55175,6,5633.0,1,0,66.0,0,0,0,65535,0,0
55080,443,6,21213.0,1,0,55.0,0,0,0,254,0,0
443,55081,6,103827.0,1,0,66.0,0,0,0,16382,0,0
443,55080,6,164879.0,1,0,66.0,0,0,0,16382,0,0
443,55171,6,17726.0,1,0,66.0,0,0,0,65535,0,0
443,55174,6,200116.0,1,0,66.0,0,0,0,65535,0,0
443,55175,6,4540.0,1,0,66.0,0,0,0,65535,0,0
55178,443,6,108373.0,1,0,66.0,0,0,0,65535,0,0
54758,443,6,29641.0,1,0,55.0,0,0,0,255,0,0
443,54758,6,4607.0,1,0,66.0,0,0,0,9,0,0
443,55178,6,26209.0,1,0,66.0,0,0,0,65535,0,0
55178,443,6,96.0,1,0,54.0,0,0,0,255,0,0
55178,443,6,418.0,1,0,571.0,0,0,0,255,0,0
443,55178,6,11891.0,1,0,1490.0,0,0,0,66,0,0
443,55178,6,834.0,1,0,1490.0,0,0,0,66,0,0
443,55178,6,0.0,1,0,1278.0,0,0,0,66,0,0
443,55178,6,0.0,1,0,1490.0,0,0,0,66,0,0
55178,443,6,60.0,1,0,54.0,0,0,0,255,0,0
443,55178,6,60.0,1,0,209.0,0,0,0,66,0,0
55178,443,6,2970.0,1,0,118.0,0,0,0,255,0,0
55178,443,6,122.0,1,0,1490.0,0,0,0,255,0,0
55178,443,6,0.0,1,0,1490.0,0,0,0,255,0,0
55178,443,6,0.0,1,0,1490.0,0,0,0,255,0,0
55178,443,6,0.0,1,0,1490.0,0,0,0,255,0,0
