Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
5228,61959,6,0.0,1,0,66.0,0,0,0,1047,0,0
60490,5222,6,233.0,1,0,124.0,0,0,0,251,0,0
5222,60490,6,5851.0,1,0,54.0,0,0,0,2059,0,0
53,62562,6,807.0,1,0,55.0,0,0,0,128,0,0
443,62485,6,4174.0,1,0,66.0,0,0,0,1047,0,0
53,62561,6,0.0,1,0,55.0,0,0,0,128,0,0
62562,53,6,4141.0,1,0,54.0,0,0,0,255,0,0
62561,53,6,64.0,1,0,54.0,0,0,0,255,0,0
53,62562,6,4150.0,1,0,172.0,0,0,0,128,0,0
53,62561,6,0.0,1,0,128.0,0,0,0,128,0,0
62562,53,6,302.0,1,0,54.0,0,0,0,255,0,0
62561,53,6,580.0,1,0,54.0,0,0,0,255,0,0
53,62562,6,665.0,1,0,54.0,0,0,0,128,0,0
62562,53,6,68.0,1,0,54.0,0,0,0,255,0,0
53,62561,6,8715.0,1,0,54.0,0,0,0,128,0,0
62561,53,6,117.0,1,0,54.0,0,0,0,255,0,0
5222,60490,6,312.0,1,0,126.0,0,0,0,2059,0,0
60490,5222,6,4508.0,1,0,54.0,0,0,0,251,0,0
443,62013,6,6046.0,1,0,321.0,0,0,0,469,0,0
62013,443,6,9837.0,1,0,54.0,0,0,0,251,0,0
61167,443,6,10563.0,1,0,104.0,0,0,0,250,0,0
60490,5222,6,1703.0,1,0,120.0,0,0,0,251,0,0
5222,60490,6,0.0,1,0,66.0,0,0,0,2059,0,0
5222,60490,6,0.0,1,0,54.0,0,0,0,2059,0,0
443,61167,6,21617.0,1,0,93.0,0,0,0,16383,0,0
61167,443,6,897.0,1,0,54.0,0,0,0,250,0,0
60490,5222,6,10591.0,1,0,206.0,0,0,0,251,0,0
62336,443,6,2126.0,1,0,55.0,0,0,0,255,0,0
62347,443,6,0.0,1,0,55.0,0,0,0,250,0,0
62337,443,6,5619.0,1,0,55.0,0,0,0,255,0,0
62484,443,6,19075.0,1,0,55.0,0,0,0,252,0,0
62513,443,6,4553.0,1,0,55.0,0,0,0,253,0,0
5222,60490,6,5007.0,1,0,54.0,0,0,0,2069,0,0
5222,60490,6,40.0,1,0,253.0,0,0,0,2069,0,0
60490,5222,6,351.0,1,0,54.0,0,0,0,255,0,0
443,62484,6,3175.0,1,0,66.0,0,0,0,1046,0,0
443,62337,6,0.0,1,0,66.0,0,0,0,501,0,0
443,62336,6,87.0,1,0,66.0,0,0,0,501,0,0
443,62347,6,0.0,1,0,66.0,0,0,0,501,0,0
443,62513,6,9593.0,1,0,66.0,0,0,0,1046,0,0
443,61968,6,5232.0,1,0,174.0,0,0,0,16386,0,0
61968,443,6,2636.0,1,0,89.0,0,0,0,252,0,0
61968,443,6,201.0,1,0,614.0,0,0,0,252,0,0
62514,443,6,15520.0,1,0,55.0,0,0,0,253,0,0
61975,443,6,947.0,1,0,55.0,0,0,0,510,0,0
62563,53,6,1189.0,1,0,66.0,0,0,0,65535,0,0
62564,53,6,187.0,1,0,66.0,0,0,0,65535,0,0
53,62563,6,3376.0,1,0,66.0,0,0,0,65535,0,0
53,62564,6,0.0,1,0,66.0,0,0,0,65535,0,0
62563,53,6,94.0,1,0,54.0,0,0,0,255,0,0
62564,53,6,33.0,1,0,54.0,0,0,0,255,0,0
62563,53,6,217.0,1,0,56.0,0,0,0,255,0,0
62563,53,6,97.0,1,0,83.0,0,0,0,255,0,0
62564,53,6,111.0,1,0,56.0,0,0,0,255,0,0
62564,53,6,25.0,1,0,83.0,0,0,0,255,0,0
53,62563,6,0.0,1,0,54.0,0,0,0,128,0,0
53,62563,6,62.0,1,0,54.0,0,0,0,128,0,0
53,62564,6,609.0,1,0,54.0,0,0,0,128,0,0
53,62564,6,0.0,1,0,54.0,0,0,0,128,0,0
443,61968,6,5817.0,1,0,54.0,0,0,0,16384,0,0
443,61968,6,6389.0,1,0,126.0,0,0,0,16384,0,0
61968,443,6,1105.0,1,0,607.0,0,0,0,252,0,0
443,62514,6,7452.0,1,0,66.0,0,0,0,1046,0,0
443,61975,6,1126.0,1,0,66.0,0,0,0,318,0,0
443,61968,6,4160.0,1,0,126.0,0,0,0,16384,0,0
61968,443,6,56.0,1,0,66.0,0,0,0,252,0,0
443,61968,6,12771.0,1,0,54.0,0,0,0,16389,0,0
