Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
62675,443,6,5790.0,1,0,128.0,0,0,0,255,0,0
60455,443,6,34237.0,1,0,112.0,0,0,0,252,0,0
443,62675,6,2911.0,1,0,54.0,0,0,0,255,0,0
60490,5222,6,320.0,1,0,124.0,0,0,0,251,0,0
60455,443,6,3094.0,1,0,112.0,0,0,0,252,0,0
443,60455,6,5328.0,1,0,101.0,0,0,0,16387,0,0
60455,443,6,5053.0,1,0,54.0,0,0,0,252,0,0
60490,5222,6,4013.0,1,0,124.0,0,0,0,251,0,0
61801,443,6,962.0,1,0,153.0,0,0,0,254,0,0
62678,53,6,34479.0,1,0,66.0,0,0,0,65535,0,0
62679,53,6,255.00000000000003,1,0,66.0,0,0,0,65535,0,0
53,62678,6,3719.0,1,0,66.0,0,0,0,65535,0,0
62678,53,6,90.0,1,0,54.0,0,0,0,255,0,0
62678,53,6,282.0,1,0,56.0,0,0,0,255,0,0
62678,53,6,53.0,1,0,100.0,0,0,0,255,0,0
53,62679,6,333.0,1,0,66.0,0,0,0,65535,0,0
62679,53,6,59.0,1,0,54.0,0,0,0,255,0,0
62679,53,6,345.0,1,0,56.0,0,0,0,255,0,0
62679,53,6,83.0,1,0,100.0,0,0,0,255,0,0
53,62678,6,4811.0,1,0,54.0,0,0,0,128,0,0
53,62678,6,1249.0,1,0,54.0,0,0,0,128,0,0
53,62679,6,946.0,1,0,54.0,0,0,0,128,0,0
53,62679,6,0.0,1,0,54.0,0,0,0,128,0,0
61801,443,6,30735.0,1,0,153.0,0,0,0,254,0,0
60490,5222,6,8562.0,1,0,124.0,0,0,0,251,0,0
62583,443,6,4588.0,1,0,1414.0,0,0,0,254,0,0
62583,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
62583,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
61801,443,6,8637.0,1,0,153.0,0,0,0,254,0,0
443,61801,6,8533.0,1,0,174.0,0,0,0,7994,0,0
61801,443,6,3640.0,1,0,54.0,0,0,0,254,0,0
5222,60490,6,93.0,1,0,54.0,0,0,0,2133,0,0
60490,5222,6,220.0,1,0,120.0,0,0,0,251,0,0
5222,60490,6,5944.0,1,0,126.0,0,0,0,2133,0,0
60490,5222,6,130.0,1,0,54.0,0,0,0,251,0,0
443,62583,6,8028.0,1,0,54.0,0,0,0,79,0,0
62583,443,6,42.0,1,0,1414.0,0,0,0,254,0,0
62583,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
443,62583,6,25637.0,1,0,54.0,0,0,0,79,0,0
62583,443,6,43.0,1,0,1414.0,0,0,0,254,0,0
443,61801,6,1701.0,1,0,66.0,0,0,0,7994,0,0
60490,5222,6,15322.0,1,0,120.0,0,0,0,251,0,0
62645,443,6,4409.0,1,0,54.0,0,0,0,255,0,0
443,62645,6,0.0,1,0,54.0,0,0,0,49152,0,0
443,62645,6,709.0,1,0,54.0,0,0,0,49152,0,0
62645,443,6,43.0,1,0,54.0,0,0,0,255,0,0
62680,53,6,35199.0,1,0,66.0,0,0,0,65535,0,0
62681,53,6,345.0,1,0,66.0,0,0,0,65535,0,0
53,62680,6,3359.0,1,0,66.0,0,0,0,65535,0,0
62680,53,6,179.0,1,0,54.0,0,0,0,255,0,0
53,62681,6,152.0,1,0,66.0,0,0,0,65535,0,0
62681,53,6,120.0,1,0,54.0,0,0,0,255,0,0
62681,53,6,296.0,1,0,56.0,0,0,0,255,0,0
62681,53,6,74.0,1,0,100.0,0,0,0,255,0,0
62680,53,6,58.0,1,0,56.0,0,0,0,255,0,0
62680,53,6,21.0,1,0,100.0,0,0,0,255,0,0
53,62681,6,2286.0,1,0,54.0,0,0,0,128,0,0
53,62681,6,1357.0,1,0,54.0,0,0,0,128,0,0
53,62680,6,0.0,1,0,54.0,0,0,0,128,0,0
53,62680,6,105.0,1,0,54.0,0,0,0,128,0,0
